click,displayURL,adID,advertiserID,depth,position,queryID,keywordID,titleID,descriptionID,userID,userGender,userAge
0,1.65E+19,21229176,30259,3,2,1672592,9501,16766,16286,1009902,2,5
0,1.35E+19,4380773,13273,3,1,1672592,6428,49575,45338,1009902,2,5
0,3.04E+18,21812960,37714,1,1,1672763,2351,547506,808,0,0,0
0,9.75E+18,10850233,29713,2,1,1674186,30817,238086,261504,0,0,0
0,1.19E+19,5019707,2129,3,1,1674468,17909,19541,1712,0,0,0
0,5.11E+17,22135744,38604,3,2,2719278,53382,110406,79530,0,0,0
0,1.19E+19,5019707,2129,3,1,2733460,17909,19541,1712,0,0,0
0,1.43E+19,21163823,3420,3,3,2733667,79682,318083,10352,0,0,0
0,1.23E+18,4271311,23778,1,1,2733723,189,99,132,0,0,0
0,6.02E+18,21127659,10200,1,1,4499989,14419,26709,31222,0,0,0
0,1.40E+19,10396294,29131,3,2,4500275,20752,417645,237034,0,0,0
0,8.01E+18,10399416,18074,2,2,4500649,5934,230510,184424,46208,1,6
0,1.52E+19,21723566,37586,3,1,5332766,192,2540,5371,494139,1,6
0,2.48E+18,21783767,37654,3,3,5332766,192,4117,2752,494139,1,6
0,1.38E+19,21505952,149,3,2,5332766,12357,38911,35982,494139,1,6
0,1.29E+19,1262660,11188,3,1,5333360,4736,23310,4133,2152,1,4
0,1.29E+19,1262660,11188,3,1,5333362,4736,23310,4133,2152,1,4
0,1.25E+19,21944870,21816,3,2,5333365,7858,27623,26117,2152,1,4
0,1.29E+19,2013089,11188,3,1,5333365,37005,160700,137922,2152,1,4
0,1.13E+18,4356197,12311,3,2,5351698,54822,193049,166379,27289,1,5
0,1.21E+19,20110162,27961,3,3,5351698,299288,1692565,1340188,27289,1,5
0,9.75E+18,10850154,29713,3,3,6838186,133782,707068,718273,0,0,0
0,1.80E+19,20639407,33830,3,1,6839919,6239,32928,14682,0,0,0
0,1.40E+19,10396294,29131,3,1,6841342,25354,377094,237034,0,0,0
0,1.33E+19,20506813,16966,3,3,6851716,1208,44008,45143,0,0,0
0,1.48E+18,20875635,25655,1,1,6869256,18433,41955,35057,0,0,0
0,1.07E+19,20813776,2590,3,2,6869912,125513,1446345,1169362,0,0,0
0,2.69E+18,4212764,2051,2,1,135676,109,385,56,366247,2,3
0,7.27E+18,10365503,4862,2,2,135676,246336,719429,331730,366247,2,3
0,1.05E+19,20682970,34200,2,2,136107,51,259,361,0,0,0
0,9.03E+18,20302822,22485,1,1,136215,115708,298733,17494,22647565,0,1
0,2.69E+18,4212764,2051,3,2,136309,380,2429,56,2435044,2,5
0,1.43E+19,21970616,23777,3,3,136309,26121,990237,14746,2435044,2,5
0,5.75E+18,21204282,2078,3,1,136309,306302,1910830,1569525,2435044,2,5
0,1.21E+19,20157628,27961,1,1,136370,97424,157205,151094,19889757,2,2
1,9.21E+18,1306183,5390,2,1,136529,5405,9379,4778,15058707,2,5
0,1.43E+19,9027549,23808,2,2,136529,46,14,18,15058707,2,5
0,6.00E+18,20967219,28993,3,2,137107,10096,28851,32057,0,0,0
0,5.82E+18,21966116,32424,1,1,137709,118552,872849,699149,0,0,0
0,5.82E+18,22000639,32424,2,2,137709,118552,872849,699149,0,0,0
0,4.40E+18,21215341,821,2,1,138027,1711,27691,3732,0,0,0
0,7.02E+18,22104656,38563,2,2,138234,2663,288734,111,0,0,0
0,5.10E+18,10405659,29900,3,1,139286,42,23,26,0,0,0
0,9.39E+18,4254545,10655,3,1,106541,14285,51515,50458,0,0,0
0,8.13E+18,10951033,1268,1,1,106690,116,92,2,3347744,1,4
0,1.58E+19,4319986,797,2,2,106704,83618,1233030,4665,227189,1,5
0,8.51E+18,10752616,9643,3,1,106866,138758,992720,793582,0,0,0
0,8.51E+18,10752616,9643,3,2,106866,138758,992720,793582,0,0,0
0,1.51E+19,20888552,23807,2,1,106892,24087,5,11,416727,1,5
0,9.07E+18,20945653,35231,2,2,106892,3929,8165,10194,416727,1,5
0,9.07E+18,20945653,35231,2,1,106892,3929,8165,10194,416727,1,5
0,1.43E+19,4882625,23777,2,2,106892,3929,8483,8632,416727,1,5
0,1.43E+19,10110490,23808,2,1,107069,47218,52430,141,158714,1,3
0,1.43E+19,21360115,23777,2,2,107069,8257,131684,158,158714,1,3
0,7.44E+18,22141878,38475,1,1,107079,286,263,343,7353540,1,3
0,1.20E+19,22130435,37465,3,2,107234,69201,1431220,125,0,0,0
1,5.26E+16,3048011,23782,1,1,107324,84,68,104,0,0,0
0,4.13E+18,20975187,35306,1,1,107408,345,773,1018,21868,2,5
0,1.17E+19,20589274,21273,2,2,107534,67281,1047487,697680,3060480,2,4
0,1.08E+19,20650820,32942,2,1,107534,237858,1477287,1169130,3060480,2,4
0,3.82E+18,10805816,23649,2,1,107954,288746,672434,552661,946329,0,1
0,1.36E+19,21340786,21102,2,2,107954,150481,771846,1399,946329,0,1
0,1.36E+19,21340786,21102,2,2,107954,150481,1117360,1708,946329,0,1
0,1.43E+19,4708348,23777,2,1,108142,7615,6212,6507,2082157,2,3
0,4.19E+18,20427201,2533,2,2,108142,6498,14788,14597,2082157,2,3
0,1.81E+19,20383780,33357,1,1,108170,2688,37736,9218,22396737,1,6
0,1.21E+19,20174572,27961,1,1,108278,50727,109009,97940,11307763,1,3
